CUST_CODE,Churn_Risk_Probability,Holiday_Monetary,Pre_Monetary,Holiday_Frequency,Holiday_Uplift_Ratio
CUST0000681971,0.95232975,309.17,1149.1,8,1.6143242537638154
CUST0000486687,0.9523006,373.21,454.59000000000003,10,4.92588926285224
CUST0000742253,0.95209676,308.56,360.28,11,5.138669923392917
CUST0000878331,0.9520689,194.14,318.58,6,3.656350053361793
CUST0000619398,0.9519091,215.04,118.59,5,10.879838097647356
CUST0000040544,0.9519087,273.2,147.93,13,11.080916649766781
CUST0000992559,0.951834,232.96,14.489999999999998,7,20.0
CUST0000043947,0.95171285,220.77999999999997,332.32,3,3.986157920077034
CUST0000493345,0.9517026,302.53,328.57,12,5.524484889064735
CUST0000471275,0.9515482,503.5,278.90999999999997,8,10.831451005700766
CUST0000109738,0.95133084,319.36,566.34,3,3.383409259455451
CUST0000982136,0.95129454,601.39,381.26,11,9.46425011802969
CUST0000789898,0.95127934,570.28,480.96,25,7.114271457085828
CUST0000564331,0.95126635,555.86,1588.35,10,2.0997639059401267
CUST0000091413,0.95106554,378.46,451.07,14,5.034163211918328
CUST0000907448,0.95099336,303.8,467.40999999999997,15,3.8997881945187314
CUST0000084303,0.95095634,367.55,60.00999999999999,10,20.0
CUST0000609932,0.95094526,221.45,344.27000000000004,5,3.8594707642257524
CUST0000667626,0.9508366,450.65,473.78000000000003,15,5.707079235088015
CUST0000004324,0.9507352,372.82,445.08,12,5.025882987328121
CUST0000086637,0.95072097,235.87,775.09,4,1.8258782851023752
CUST0000676631,0.95066607,103.72999999999999,395.67,20,1.5729774812343615
CUST0000341653,0.9506401,392.3,394.77,16,5.962459153431112
CUST0000076359,0.95063996,459.17,476.34,18,5.78372591006424
CUST0000174385,0.9506005,246.62,98.47,10,15.02711485731695
CUST0000059989,0.9504377,315.28,174.67000000000002,13,10.83002232781817
CUST0000210448,0.95026773,259.38,56.5,10,20.0
CUST0000006249,0.9499043,306.19,691.36,9,2.657284193473733
CUST0000108382,0.9498292,447.34,343.92,7,7.804256803907885
CUST0000717191,0.9498031,294.37,84.14,4,20.0
CUST0000918172,0.949643,207.02,802.72,3,1.5473888778154277
CUST0000620533,0.9496167,556.4300000000001,127.57000000000001,38,20.0
CUST0000012944,0.9495777,279.45,726.29,5,2.308581971388839
CUST0000773127,0.94953334,430.8,544.66,20,4.745712921822789
CUST0000075200,0.9494952,260.74,101.67999999999999,9,15.385916601101497
CUST0000635080,0.9494941,310.36,916.78,8,2.0311961430223175
CUST0000744297,0.94941634,411.11,701.32,17,3.517167626760965
CUST0000408148,0.9494112,224.59,174.36,4,7.7284927735719195
CUST0000252048,0.94936687,304.23,495.46,34,3.684212650869899
CUST0000668437,0.9493646,209.48000000000002,188.71,17,6.660378358327593
CUST0000715850,0.9493531,233.99,100.2,8,14.011377245508983
CUST0000100525,0.9493261,353.21,778.67,57,2.7216407464009142
CUST0000858808,0.9492752,234.7,113.11,10,12.449827601449915
CUST0000282069,0.94927216,281.35,883.25,3,1.911236909142372
CUST0000716866,0.9492592,627.9,682.48,15,5.520161762982065
CUST0000717298,0.9492093,269.36,517.37,4,3.123799215261805
CUST0000379949,0.9490759,293.66,42.949999999999996,9,20.0
CUST0000843287,0.94905984,218.9,379.4,8,3.46178176067475
CUST0000423097,0.949031,204.12,461.11,7,2.656025677170306
CUST0000881223,0.948953,404.84,475.04999999999995,9,5.113230186296179
CUST0000957731,0.948938,354.29,876.07,16,2.426449941214743
CUST0000242962,0.9488944,642.9100000000001,92.38,49,20.0
CUST0000076590,0.94879085,63.62,246.25,20,1.5501319796954316
CUST0000347657,0.9487627,250.07,245.15,10,6.120416071792779
CUST0000043087,0.94866014,175.3,369.49,2,2.84662643102655
CUST0000714519,0.94851667,286.16999999999996,125.41,5,13.69125269117295
CUST0000443157,0.9484824,269.72,112.16,24,14.428673323823112
CUST0000773041,0.9483875,366.06,480.74,27,4.568706577359904
CUST0000800532,0.9482558,306.11,34.56,11,20.0
CUST0000454943,0.9482397,497.07,491.04,9,6.073680351906158
CUST0000143632,0.9481828,215.57,23.76,17,20.0
CUST0000904387,0.9481548,345.41999999999996,842.54,10,2.459847603674603
CUST0000628705,0.948154,225.89,107.96000000000001,10,12.554094108929231
CUST0000816645,0.9481308,275.24,296.52,10,5.569405099150142
CUST0000409627,0.9480092,307.58,658.59,10,2.802168268573771
CUST0000355645,0.94795775,577.0500000000001,861.49,23,4.018967138330103
CUST0000965651,0.9479383,298.95,557.82,32,3.215553404323975
CUST0000866974,0.9479269,226.03,87.3,9,15.53470790378007
CUST0000940361,0.9479115,645.47,1120.34,19,3.456825606512309
CUST0000160971,0.9478854,475.34000000000003,105.82,11,20.0
CUST0000743149,0.9477602,289.94,208.5,10,8.343597122302159
CUST0000951924,0.9477421,250.25,796.09,7,1.8860932809104498
CUST0000278214,0.9477165,443.46000000000004,0.0,15,20.0
CUST0000358837,0.9477005,399.91,523.63,11,4.582357771709032
CUST0000305036,0.9476278,674.06,1908.3,14,2.119352303096997
CUST0000586354,0.94761837,317.86,1271.74,27,1.4996461540880996
CUST0000156033,0.94760865,194.28,573.6999999999999,3,2.0318633432107376
CUST0000181863,0.947537,223.06,55.18000000000001,11,20.0
CUST0000206452,0.9474186,537.8299999999999,150.94,8,20.0
CUST0000775403,0.94732606,176.28,332.38,3,3.182140923039894
CUST0000910532,0.9472249,281.4,452.21,25,3.733663563388691
CUST0000144063,0.94721895,351.95,967.05,17,2.1836513106871416
CUST0000966510,0.9471956,323.92,190.03,11,10.227437772983214
CUST0000706746,0.9471932,206.5,568.01,8,2.181299625006602
CUST0000274910,0.9469788,250.47,142.52,7,10.544625315745158
CUST0000307418,0.9468383,358.37,1090.76,14,1.9713044116029192
CUST0000340323,0.9468261,205.26,144.27,4,8.536494073611976
CUST0000388488,0.9467573,383.87,626.04,17,3.6790300939237115
CUST0000141623,0.94670707,195.18,458.5,7,2.554154852780807
CUST0000194388,0.94670105,386.34000000000003,530.17,18,4.372257954995568
CUST0000533509,0.94651324,245.13,149.13,8,9.862401931200965
CUST0000760046,0.9464639,151.78,354.54,15,2.568624132678964
CUST0000175607,0.9463907,316.97,288.97,15,6.581375229262553
CUST0000864441,0.94638324,620.23,710.4100000000001,17,5.238355315944313
CUST0000155214,0.94630194,373.6,168.72,15,13.285917496443812
CUST0000288627,0.9462849,222.03,368.34000000000003,9,3.6167128196774714
CUST0000341552,0.9462262,387.18,527.06,17,4.40761962584905
CUST0000216288,0.94613045,573.31,310.97999999999996,29,11.06135442793749
CUST0000437097,0.9460642,568.26,845.4,14,4.033073101490419
CUST0000033144,0.94605964,198.55,87.81,6,13.566791937137001
CUST0000521475,0.94602674,324.76,691.28,15,2.81877097558153
CUST0000206089,0.9459531,284.84,160.16,5,10.67082917082917
CUST0000803599,0.94594675,351.73,1349.85,5,1.563418157573064
CUST0000587636,0.9459151,347.15999999999997,173.37,14,12.014535386745111
CUST0000979702,0.94590205,463.92999999999995,544.88,12,5.108611070327411
CUST0000646763,0.945901,266.31,424.85,12,3.7609979992938682
CUST0000815446,0.945861,571.21,1246.51,38,2.7494845608940164
CUST0000615079,0.9458149,263.31,60.0,13,20.0
CUST0000384772,0.94580877,221.73999999999998,153.57,9,8.663410822426254
CUST0000035254,0.9457757,213.55,571.23,4,2.2430544614253454
CUST0000408988,0.94571257,287.71000000000004,662.71,11,2.6048497834648643
CUST0000444886,0.94568527,301.24,314.11,12,5.754162554519118
CUST0000321239,0.945572,263.69,428.06,29,3.6960706443022007
CUST0000424589,0.9455618,569.43,257.11,40,13.288397961961804
CUST0000200695,0.9455474,230.59,233.76,9,5.918634496919918
CUST0000480957,0.94548726,399.27,598.81,16,4.000634591940682
CUST0000056111,0.9454427,368.34000000000003,0.0,18,20.0
CUST0000604889,0.945356,200.23000000000002,282.23,4,4.256740955957907
CUST0000134571,0.9452107,383.81,614.81,4,3.7456449960150295
CUST0000455888,0.9450821,154.97,75.09,14,12.382740711146623
CUST0000390615,0.94508195,451.51,350.96000000000004,7,7.718999316161385
CUST0000186823,0.9450077,296.39,139.51,9,12.747043222708049
CUST0000983923,0.94492376,340.5,767.74,17,2.6610571287154507
CUST0000970835,0.9449064,486.85999999999996,119.81,7,20.0
CUST0000956883,0.944906,328.93,52.36,9,20.0
CUST0000111311,0.9448854,472.98,506.16999999999996,8,5.606574866151688
CUST0000774286,0.944885,272.01,71.05,11,20.0
CUST0000080775,0.9448635,448.65999999999997,528.06,15,5.097829792069083
CUST0000255780,0.9447149,369.42,108.74,18,20.0
CUST0000192227,0.9447048,216.59,454.46,24,2.859525590811073
CUST0000369592,0.9446665,917.11,1521.26,11,3.6171726069179497
CUST0000353925,0.94461197,267.59,875.3,12,1.8342739632126128
CUST0000229598,0.9445545,404.96,501.78,15,4.842281477938539
CUST0000004736,0.9445486,295.86,79.03,16,20.0
CUST0000295591,0.944474,294.99,627.14,8,2.8222406480211757
CUST0000202841,0.9444143,280.44,56.13,3,20.0
CUST0000009829,0.9443992,270.61,92.88,12,17.4812661498708
CUST0000429489,0.9443608,668.89,757.73,15,5.296530426405184
CUST0000920964,0.9443566,220.15,134.81,10,9.798234552332913
CUST0000030579,0.94425946,449.74,960.13,23,2.8104944122150126
CUST0000472560,0.944246,337.88,730.59,15,2.774853200837679
CUST0000375689,0.9440183,408.71000000000004,1064.08,16,2.304582362228404
CUST0000667776,0.94400465,443.96,375.89,21,7.086541275373114
CUST0000879000,0.94397616,188.17000000000002,217.72,10,5.185651295241595
CUST0000742923,0.9439728,275.99,515.18,15,3.214294033153461
CUST0000515260,0.94395566,233.11,327.57,6,4.269804927191135
CUST0000296735,0.94394344,226.48000000000002,576.5,17,2.357120555073721
CUST0000712945,0.9438955,452.59,231.34,37,11.738307253393273
CUST0000829249,0.94369006,488.90999999999997,717.17,11,4.090327258530055
CUST0000628621,0.9436066,311.19,52.22,9,20.0
CUST0000378823,0.9436055,169.07,129.26,3,7.847903450410026
CUST0000215436,0.94360083,471.41999999999996,222.52,13,12.711306848822577
CUST0000695378,0.94357294,548.53,640.33,43,5.139818531069916
CUST0000087476,0.94356394,263.93,376.73,21,4.203487909112627
CUST0000038879,0.9435196,302.61,142.78,9,12.716486902927581
CUST0000151884,0.9435131,357.11,601.0600000000001,18,3.564802182810368
CUST0000343129,0.9434675,269.61,326.38,16,4.956369875605123
CUST0000493390,0.94345963,236.68,255.45999999999998,10,5.5589133328114
CUST0000803462,0.94343096,298.81,84.14,15,20.0
CUST0000947577,0.9434038,346.57,633.42,14,3.2828455053518995
CUST0000179843,0.94340235,238.04,919.09,7,1.5539718634736532
CUST0000823292,0.94340026,534.47,302.48,8,10.60175879396985
CUST0000847553,0.943392,199.29000000000002,121.46,3,9.844722542400792
CUST0000045563,0.9433841,217.54,214.27999999999997,4,6.091282434198245
CUST0000469920,0.94337183,382.89,762.74,10,3.011956892256863
CUST0000363172,0.94325054,211.75,45.79,2,20.0
CUST0000953745,0.9432202,305.76,955.3,15,1.9204019679681774
CUST0000742062,0.9432044,454.05,472.42,12,5.766690656619111
CUST0000400718,0.94319224,588.6,546.91,45,6.457369585489387
CUST0000676867,0.94314414,155.42000000000002,276.33,3,3.374660731733797
CUST0000008774,0.94314224,402.13,491.08,18,4.913211696668568
CUST0000880238,0.94307524,359.09999999999997,311.96999999999997,9,6.906433310895278
CUST0000837844,0.94307256,291.2,402.34,16,4.342595814485262
CUST0000860658,0.9430657,337.84999999999997,921.32,16,2.2002127382451264
CUST0000886666,0.94301414,264.96,304.62,5,5.2188300177270035
CUST0000974574,0.94299257,380.82,234.57999999999998,13,9.74047233353227
CUST0000939652,0.9429368,303.99,439.84,11,4.146826118588578
CUST0000896618,0.9429281,323.01,182.92000000000002,25,10.595123551279247
CUST0000911924,0.9429101,478.04999999999995,885.05,13,3.240833851194848
CUST0000432592,0.94277847,427.75,615.5699999999999,19,4.1693064964179545
CUST0000183467,0.9426941,274.57,542.37,24,3.03744676143592
CUST0000466842,0.94261384,270.68,466.85,28,3.4788047552747132
CUST0000891803,0.9425255,251.31,662.8299999999999,5,2.2748819455969107
CUST0000006986,0.9425029,217.96,486.6,6,2.6875462392108505
CUST0000382919,0.94241405,237.82,219.47,8,6.5016630974620675
CUST0000469318,0.9423282,286.32,27.800000000000004,12,20.0
CUST0000550140,0.94232655,237.43,404.78,7,3.519393250654677
CUST0000235448,0.9423099,451.55,572.28,9,4.734221010694066
CUST0000482586,0.9423053,241.02,88.55,14,16.331112365894978
CUST0000430439,0.9422959,342.4,1106.07,5,1.8573869646586563
CUST0000173303,0.9422708,214.88,109.44,7,11.780701754385966
CUST0000264356,0.942243,395.27,358.03,12,6.624081780856353
CUST0000187309,0.9422169,408.03,535.66,3,4.570399133778889
CUST0000528018,0.9421714,227.57,499.46,6,2.7337924958955675
CUST0000420402,0.94216156,225.89000000000001,340.76,5,3.9774034511092857
CUST0000482910,0.94213784,399.75,430.8,19,5.567548746518106
CUST0000823247,0.9421302,582.81,244.53,50,14.300331247699667
CUST0000178252,0.94210434,437.63,1295.58,9,2.026721622748113
CUST0000633905,0.9420945,254.45,310.87,9,4.911056068453051
CUST0000143024,0.9419741,239.48999999999998,137.37,6,10.460362524568682
CUST0000070459,0.9418021,244.98,154.48000000000002,12,9.515018125323666
CUST0000389874,0.94177306,173.44,339.29,5,3.0671107312328685
CUST0000573137,0.94177103,587.0899999999999,941.95,17,3.739625245501353
CUST0000572546,0.94177103,228.09,142.38,6,9.611883691529709
CUST0000179521,0.94175225,302.46999999999997,351.38,11,5.164835790312482
CUST0000097917,0.94174266,202.65,180.76,8,6.726598805045365
CUST0000498542,0.941723,231.12,547.22,5,2.53411790504733
CUST0000255543,0.94171333,463.0,120.36000000000001,6,20.0
CUST0000541348,0.9416963,392.09,681.6899999999999,15,3.4510407956695857
CUST0000601420,0.9416075,312.28000000000003,447.68,16,4.185310936383131
CUST0000068859,0.9415783,281.25,195.6,12,8.627300613496931
CUST0000478430,0.9415507,192.23,194.91,16,5.917500384792981
CUST0000067007,0.9415257,262.68,190.29,12,8.282516159545956
CUST0000054165,0.9414858,325.77,340.26,6,5.744489508023276
CUST0000730965,0.94144404,277.15999999999997,159.99,11,10.394149634352145
CUST0000799526,0.9413753,289.77,982.16,21,1.770200374684369
CUST0000967803,0.9413458,438.02,114.80000000000001,10,20.0
CUST0000935417,0.9413215,241.18,633.55,4,2.284081761502644
CUST0000169375,0.94129944,440.44,297.13,10,8.89388483155521
CUST0000567606,0.9412306,312.9,419.06,9,4.48002672648308
CUST0000344434,0.94116855,170.74,544.55,21,1.8812597557616384
CUST0000066045,0.9411409,346.45,599.9,12,3.46507751291882
CUST0000033066,0.94110656,253.52999999999997,517.29,3,2.940671576871774
CUST0000021200,0.9411022,205.62,443.55,4,2.7814677037538047
CUST0000040943,0.94107014,333.62,671.3299999999999,13,2.981722848673529
CUST0000277546,0.9409963,371.48,542.72,15,4.106869103773585
CUST0000399146,0.94099027,320.51,319.9,9,6.011441075336043
CUST0000108520,0.94087666,231.82,396.55,7,3.507552641533224
CUST0000746414,0.94076234,259.61,217.38,12,7.165608611647807
CUST0000675747,0.9407513,281.18,324.08,14,5.205751666255246
CUST0000462982,0.94072807,644.87,965.76,8,4.006399105367793
CUST0000133333,0.9406796,481.56,807.5600000000001,17,3.5778889494279063
CUST0000644944,0.9406786,330.0,329.91,18,6.001636810039101
CUST0000001521,0.94062716,295.85,264.84,12,6.702537381060265
CUST0000644359,0.94062424,249.65,374.11,14,4.0039025954933045
CUST0000139686,0.94061536,301.92,223.03,10,8.122315383580684
CUST0000739240,0.9406073,314.01,262.1,12,7.188325066768408
CUST0000259644,0.9406013,288.67,389.59,5,4.445750660951258
CUST0000637119,0.94058776,454.82,0.0,16,20.0
CUST0000169377,0.94047076,416.39,384.89,14,6.491049390735015
CUST0000369764,0.94043416,174.45,25.54,13,20.0
CUST0000870766,0.94040775,216.82999999999998,61.34,8,20.0
CUST0000997686,0.9403965,173.68,231.17000000000002,3,4.50785136479647
CUST0000426104,0.94039196,205.84,566.27,8,2.1810090592826743
CUST0000484127,0.94036883,494.0,834.09,24,3.5535733553933024
CUST0000442861,0.94034415,378.87,385.64,14,5.89466860284203
CUST0000343861,0.940327,275.2,479.92,16,3.4405734289048175
CUST0000802034,0.9403117,153.25,171.35999999999999,1,5.365896358543417
CUST0000599942,0.9402928,216.36,86.82,14,14.952315134761578
CUST0000503148,0.94028866,181.20000000000002,256.40999999999997,4,4.240084240084241
CUST0000292533,0.94028234,311.56,79.35,19,20.0
CUST0000493145,0.94027513,241.36,459.36,20,3.1525600835945666
CUST0000019942,0.9402673,227.62,400.65,16,3.408760763758892
CUST0000295650,0.9401605,475.6,1112.74,18,2.5644804716285923
CUST0000805975,0.9401103,519.36,914.97,36,3.405751008229778
CUST0000143710,0.9400675,265.93,329.36,11,4.844486276414865
CUST0000479521,0.94006705,495.33,184.01000000000002,16,16.151187435465463
CUST0000539520,0.94006574,387.22,358.96,18,6.472364608870071
CUST0000582604,0.9400528,299.81,359.82,3,4.99933299983325
CUST0000740486,0.9400133,249.26,112.98,17,13.237387148167816
CUST0000029590,0.9399507,557.54,814.81,44,4.105546078226826
CUST0000218835,0.9399314,581.9,586.66,41,5.9513176286094165
CUST0000933806,0.9399139,380.62,885.72,9,2.578376913697331
CUST0000482045,0.9399057,316.15,941.99,9,2.013715644539751
CUST0000892511,0.9398944,341.48,185.29999999999998,16,11.057096600107934
CUST0000739164,0.9398249,321.69,39.230000000000004,7,20.0
CUST0000352367,0.93982273,345.82,474.55,31,4.372394900431988
CUST0000339411,0.93980914,283.08,12.030000000000001,18,20.0
CUST0000780360,0.9397842,491.39,0.0,13,20.0
CUST0000651202,0.93973994,501.06,833.88,16,3.605266944884156
CUST0000060904,0.9396833,378.37,106.56,15,20.0
CUST0000528795,0.93968284,308.74,763.23,8,2.4271058527573603
CUST0000739798,0.9396695,370.16,413.21999999999997,15,5.374764048206767
CUST0000663252,0.9396398,223.53,409.43,11,3.2757247881200695
CUST0000018972,0.93955463,226.64,92.87,10,14.642403359534832
CUST0000218693,0.93954563,307.82,780.53,16,2.3662383252405417
CUST0000222437,0.93951154,291.89,785.86,9,2.2285648843305426
CUST0000849947,0.93950325,395.87,54.81,14,20.0
CUST0000213268,0.9394784,204.88,505.81,9,2.4303196852573103
CUST0000341941,0.939447,562.05,484.7,7,6.957499484217041
CUST0000944002,0.93943393,342.27,133.9,9,15.33696788648245
CUST0000836969,0.9394074,303.33,136.23,11,13.359612420171768
CUST0000399219,0.93939453,231.88,263.03000000000003,11,5.28943466524731
CUST0000557436,0.9393925,248.93,337.29,16,4.428177532687005
CUST0000396465,0.9393513,326.91,427.76000000000005,15,4.5854217318122314
CUST0000116989,0.93932074,209.6,206.69,19,6.084474333542987
CUST0000725130,0.9393123,274.58,224.39,11,7.342038415259147
CUST0000087910,0.93930787,230.79999999999998,186.67000000000002,18,7.418438956447205
CUST0000804792,0.9392915,579.55,79.55,16,20.0
CUST0000252977,0.9392537,288.54,303.02,11,5.713286251732559
CUST0000049824,0.93925124,445.76,257.22,17,10.39794728248192
CUST0000478152,0.93921524,341.12,516.0,13,3.9665116279069768
CUST0000935458,0.9392029,290.43,102.81,8,16.94951852932594
CUST0000383142,0.9391788,263.19,82.85,12,19.060229330114666
CUST0000182881,0.9391423,191.28,469.59000000000003,3,2.444004344215166
CUST0000589394,0.939124,220.60999999999999,120.09,9,11.022233325006244
CUST0000765926,0.9391189,627.48,898.98,45,4.187946339184409
CUST0000075106,0.9391119,240.84,502.44,4,2.876044900883688
CUST0000862530,0.939099,477.3,301.75,14,9.490637945318973
CUST0000241249,0.9390964,247.06,118.0,9,12.562372881355932
CUST0000518404,0.939087,420.75,381.59000000000003,17,6.615739406168925
CUST0000702483,0.9390819,203.06,618.57,10,1.9696396527474658
CUST0000584510,0.93906176,342.69,91.49,17,20.0
CUST0000975927,0.93903625,403.13,746.07,20,3.2420282279142705
CUST0000104033,0.9389693,220.63,24.22,14,20.0
CUST0000378185,0.9389455,244.6,258.81,10,5.67056914338704
CUST0000829887,0.9389365,623.13,1726.74,13,2.1652246429688313
CUST0000488470,0.9389179,618.86,1253.41,12,2.962446446095053
CUST0000255089,0.93890786,406.58,683.79,11,3.5675865397271096
CUST0000734106,0.9388584,379.39,37.5,26,20.0
CUST0000260469,0.93885565,201.48,115.28,10,10.486467730742538
CUST0000865857,0.9388235,199.21,300.89,5,3.9724151683339426
CUST0000606039,0.9387242,424.29,33.67,24,20.0
CUST0000035044,0.938688,302.6,153.15,10,11.855044074436826
CUST0000564515,0.93867093,206.84000000000003,319.2,3,3.887969924812031
CUST0000762564,0.93865573,201.63,184.18,7,6.568465631447497
CUST0000501983,0.9386385,203.24,290.26,17,4.201198925101633
CUST0000895077,0.9385731,224.58,59.959999999999994,16,20.0
CUST0000145487,0.9385702,347.95,504.58,19,4.137500495461572
CUST0000671430,0.93853134,357.47,621.52,17,3.4509267602007987
CUST0000128147,0.9384864,355.46,284.45,14,7.497837932852874
CUST0000096018,0.9384788,394.83,158.88,16,14.910498489425981
CUST0000794184,0.93847317,212.06,148.4,7,8.573854447439352
CUST0000816103,0.93847257,316.58,124.36,14,15.274043100675458
CUST0000087609,0.93843126,489.27,873.83,11,3.359486398956318
CUST0000940749,0.9384167,256.09000000000003,196.52999999999997,10,7.818348343764312
CUST0000965991,0.9383761,369.71,115.46000000000001,6,19.21236791962584
CUST0000053690,0.9383031,265.7,364.3,11,4.376063683777106
CUST0000321911,0.9382731,207.88,346.93,7,3.5951921136828755
CUST0000952025,0.9382312,355.58,81.66,13,20.0
CUST0000638798,0.9382213,370.35,342.52,16,6.487504379306318
CUST0000156048,0.9381558,491.74,613.77,8,4.807077569773694
CUST0000165725,0.93812585,239.26,753.8100000000001,29,1.9044056194531778
CUST0000467201,0.9381154,407.09000000000003,592.62,14,4.121595626202288
CUST0000456579,0.938106,208.04,410.5,9,3.040779537149817
CUST0000409699,0.9380481,266.18,767.6,6,2.0806149035956225
CUST0000805824,0.93801665,234.02,226.42,7,6.201395636427878
CUST0000160753,0.9380139,168.12,271.99,3,3.7086657597705797
CUST0000284210,0.9380032,583.94,703.72,44,4.978741544932643
CUST0000553185,0.93799645,267.54,187.88,14,8.543964232488824
CUST0000682097,0.93799496,223.11,120.11,23,11.145283490134045
CUST0000056087,0.9379948,506.63,1369.44,11,2.219724851033999
CUST0000787592,0.9379867,416.56,531.83,15,4.699546847676889
CUST0000149532,0.93794036,232.03,240.81,17,5.781238320667747
CUST0000804838,0.93791807,421.2,1285.85,14,1.9653925418983553
CUST0000239412,0.93791175,338.06,581.17,16,3.4901319751535698
CUST0000122277,0.9378956,258.31,79.73,14,19.438856139470712
CUST0000421971,0.93788445,198.73000000000002,498.40999999999997,7,2.3923677293794268
CUST0000120179,0.93787545,473.9,927.42,25,3.0659248237044703
